bib,name,gender,country,age_group,point,overall_rank,group_rank,gender_rank,time_overall,time_swim,time_bike,time_run,time_T1,time_T2,link,certificate
603,"Bin Abdullah, Muhammad Hafiz Wong",male,mys,40-44,"3,203",220,29,192,12:00:11,01:13:09,05:36:17,05:04:48,00:03:09,00:02:48,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=603&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=603&rd=20161112
772,"Yeo, Alvin",male,sgp,45-49,"1,000",651,92,564,15:32:54,01:40:49,07:17:09,06:11:29,00:14:14,00:09:13,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=772&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=772&rd=20161112
321,"Molit, Ronald",male,phl,30-34,"3,444",177,26,159,11:25:29,00:59:14,05:29:58,04:50:57,00:03:24,00:01:56,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=321&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=321&rd=20161112
1259,"Mohd Zahit, Mohd Sayuti",male,mys,30-34,"2,728",265,45,227,12:25:10,01:31:27,05:45:23,04:59:24,00:05:39,00:03:17,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=1259&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=1259&rd=20161112
154,"Valachovic, Martin",male,svk,25-29,"1,000",775,59,677,16:34:25,01:28:05,07:48:49,06:59:26,00:07:47,00:10:18,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=154&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=154&rd=20161112
199,"Herrero Martin-Berrocal, Ignacio",male,esp,25-29,"4,654",37,4,33,09:59:39,01:05:23,05:24:08,03:25:56,00:02:03,00:02:09,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=199&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=199&rd=20161112
616,"Yap, Siak Koon",male,mys,40-44,"1,000",633,104,548,15:24:07,01:55:34,06:47:17,06:19:10,00:12:31,00:09:35,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=616&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=616&rd=20161112
208,"Goh, Jamie",female,sgp,25-29,"1,691",781,6,99,16:35:36,01:41:24,08:32:04,06:09:07,00:06:28,00:06:33,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=208&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=208&rd=20161112
789,"Rego De Sebes, Renaud",male,fra,45-49,0,--,--,--,DNF,01:05:36,--:--:--,--:--:--,00:02:41,---,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=789&rd=2016-11-12,
161,"Mohamed, Mohamed Hafizi",male,mys,25-29,0,--,--,--,14:39:40,01:32:13,08:12:44,04:40:29,00:06:50,00:07:24,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=161&rd=2016-11-12,
878,"Chaieu, Beh",male,mys,45-49,"1,436",521,79,447,14:31:19,01:44:39,06:31:25,05:50:17,00:13:26,00:11:32,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=878&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=878&rd=20161112
1229,"Howitt, Rob",male,aus,65-69,"5,000",354,1,301,13:14:34,01:08:47,06:46:53,05:08:56,00:05:39,00:04:19,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=1229&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=1229&rd=20161112
102,"Lopez Deulofeu, Albert",male,esp,18-24,"3,867",239,7,205,12:05:44,01:08:39,05:58:55,04:46:56,00:05:12,00:06:02,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=102&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=102&rd=20161112
904,"Britton, Margy",female,aus,45-49,"1,944",585,10,79,15:05:14,01:38:07,07:25:20,05:45:22,00:09:39,00:06:46,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=904&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=904&rd=20161112
